Dosage,DosageFreq,Formulation_ Liquid,Formulation_Capsule ,Formulation_Cream,Formulation_Eyedrop,Formulation_Inhaler,Formulation_Liquid,Formulation_Ointment,Formulation_Other,Formulation_Others,Formulation_Spray,Formulation_Tablet,Brand_Names_,Drug_Name_
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",2,0,0,0,0,1,0,0,0,0,0,0,Ventolin,Salbutamol
50 MG/ML,2,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
50 MG/ML,2,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
0.75%,1,0,0,1,0,0,0,0,0,0,0,0,Noritate,Metronidazole
25 MG/ML,2,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Augmentin,Amoxicillin
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Veramyst,Fluticasone
0,1,0,0,0,0,0,0,0,1,0,0,0,Mometavet,Clotrimazole
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",3,0,0,0,0,1,0,0,0,0,0,0,Proventil,Salbutamol
0,1,0,0,0,0,0,0,0,1,0,0,0,Otomax,Clotrimazole
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Nystop,Nystatin
100 MG ,1,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
0,2,0,0,0,1,0,0,0,0,0,0,0,Tobradex,Tobramycin
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
10 MG,3,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
10 MG ,1,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Nystop,Nystatin
0,3,0,0,0,1,0,0,0,0,0,0,0,Tobi,Tobramycin
25 MG/ML,1,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Cleartime Indoor & Outdoor Allergies,Loratadine
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Moxatag,Amoxicillin
0,1,0,0,0,0,0,0,0,0,0,1,0,Surolan,Miconazole
0,1,0,0,0,0,0,0,1,0,0,0,0,Pediapred,Prednisolone
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Crocin,Paracetamol
0,1,0,0,0,1,0,0,0,0,0,0,0,Tobrex,Tobramycin
150 MG,2,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
0,1,0,0,0,0,0,0,0,0,0,1,0,Micro-Guard,Miconazole
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Biomox,Amoxicillin
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Crocin,Paracetamol
0.75%,2,0,0,1,0,0,0,0,0,0,0,0,MetroLotion,Metronidazole
10 MG,2,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
 0.25 MG/ACTUAT,3,0,0,0,0,1,0,0,0,0,0,0,Flovent,Fluticasone
100 MG ,1,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
150 MG,3,0,0,0,0,0,0,0,0,0,0,1,Keflex,Cephalexin
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
0.75%,1,0,0,1,0,0,0,0,0,0,0,0,Nuvessa,Metronidazole
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Moxatag,Amoxicillin
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Nystop,Nystatin
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
0.75%,1,0,0,1,0,0,0,0,0,0,0,0,Nuvessa,Metronidazole
0,2,0,0,0,0,0,0,0,1,0,0,0,Fungistat,Clotrimazole
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Nasoflow,Fluticasone
100 MG ,1,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Armonair,Fluticasone
0.75%,2,0,0,1,0,0,0,0,0,0,0,0,Vandazole,Metronidazole
10 MG,3,0,0,0,0,0,0,0,0,0,0,1,Claritin,Loratadine
400 MG,3,0,0,0,0,0,0,0,0,0,0,1,Talicia,Amoxicillin
0,1,0,0,0,0,0,0,0,1,0,0,0,Jock-Eze,Clotrimazole
0,2,0,0,0,0,0,0,0,0,0,1,0,Aloe Vesta Antifungal,Miconazole
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Fluticare,Fluticasone
0,2,0,0,0,0,0,0,1,0,0,0,0,Pred Forte,Prednisolone
100 MG ,1,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
0,2,0,0,0,0,0,0,0,0,0,1,0,MacerRx,Miconazole
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
 0.25 MG/ACTUAT,3,0,0,0,0,1,0,0,0,0,0,0,Breo,Fluticasone
0,1,0,0,0,1,0,0,0,0,0,0,0,Bethkis,Tobramycin
400 MG,3,0,0,0,0,0,0,0,0,0,0,1,Umbrellin,Amoxicillin
250MG/ 5ML ,3,0,0,0,0,0,1,0,0,0,0,0,Calpol,Paracetamol
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Motrin PM,Ibuprofen
10 MG ,1,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
 0.25 MG/ACTUAT,2,0,0,0,0,1,0,0,0,0,0,0,Flovent,Fluticasone
150 MG,2,0,0,0,0,0,0,0,0,0,0,1,Keflex,Cephalexin
10 MG ,2,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Xhance,Fluticasone
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Calpol,Paracetamol
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Wal-itin D,Loratadine
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Paracip,Paracetamol
150 MG,2,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
0,1,0,0,0,0,0,0,1,0,0,0,0,Prednistab,Prednisolone
10 MG,3,0,0,0,0,0,0,0,0,0,0,1,Wal-itin,Loratadine
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
400 MG,3,0,0,0,0,0,0,0,0,0,0,1,Moxatag,Amoxicillin
3 MG,3,0,1,0,0,0,0,0,0,0,0,0,Entocort,Budesonide
50 MG/ML,2,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Addaprin,Ibuprofen
150 MG,1,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
3 MG,2,0,1,0,0,0,0,0,0,0,0,0,Pulmicort,Budesonide
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",3,0,0,0,0,1,0,0,0,0,0,0,Combivent,Salbutamol
10 MG ,3,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",3,0,0,0,0,1,0,0,0,0,0,0,Airsupra,Salbutamol
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Tylenol,Paracetamol
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
0,1,0,0,0,0,0,0,0,0,0,1,0,Lagicam,Miconazole
250MG/ 5ML ,3,0,0,0,0,0,1,0,0,0,0,0,Calpol,Paracetamol
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Amoxi-tabs,Amoxicillin
25 MG/ML,1,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Umbrellin,Amoxicillin
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Advair,Fluticasone
25 MG/ML,2,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
10 MG,3,0,0,0,0,0,0,0,0,0,0,1,Claritin,Loratadine
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Xylon,Ibuprofen
250MG/ 5ML ,3,0,0,0,0,0,1,0,0,0,0,0,Tylenol,Paracetamol
10 MG,3,0,0,0,0,0,0,0,0,0,0,1,Wal-itin,Loratadine
100 MG ,2,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
0,2,0,0,0,0,0,0,1,0,0,0,0,Orapred,Prednisolone
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
10 MG,1,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
0,3,0,0,0,0,0,0,0,1,0,0,0,Lotrimin,Clotrimazole
0,2,0,0,0,0,0,0,0,1,0,0,0,Mometazole,Clotrimazole
10 MG ,3,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
0.75%,1,0,0,1,0,0,0,0,0,0,0,0,Vandazole,Metronidazole
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Biomox,Amoxicillin
0,2,0,0,0,0,0,0,0,1,0,0,0,Dermatin,Clotrimazole
10 MG ,1,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
50 MG/ML,3,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
0,3,0,0,0,0,0,0,0,1,0,0,0,LoZatom,Clotrimazole
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
100 MG ,2,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
3 MG,3,0,1,0,0,0,0,0,0,0,0,0,Rhinocort,Budesonide
0,1,0,0,0,0,0,0,0,1,0,0,0,Mometavet,Clotrimazole
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Doans PM,Diphenhydramine
10 MG ,1,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
10 MG,3,0,0,0,0,0,0,0,0,0,0,1,Tavist Non-Sedating,Loratadine
 0.25 MG/ACTUAT,2,0,0,0,0,1,0,0,0,0,0,0,Xhance,Fluticasone
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Sominex,Diphenhydramine
0.75%,2,0,0,1,0,0,0,0,0,0,0,0,MetroGel,Metronidazole
10 MG,3,0,0,0,0,0,0,0,0,0,0,1,Wal-itin D,Loratadine
10 MG,2,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
0,3,0,0,0,0,0,0,0,1,0,0,0,Cruex Antifungal,Clotrimazole
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Pulmicort,Budesonide
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
0,1,0,0,0,0,0,0,0,0,0,1,0,Micatin,Miconazole
3 MG,2,0,1,0,0,0,0,0,0,0,0,0,Ortikos,Budesonide
100 MG ,1,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Benadryl-D Allergy and Sinus,Diphenhydramine
0,1,0,0,0,0,0,0,1,0,0,0,0,Pediapred,Prednisolone
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Advair,Fluticasone
0,1,0,0,0,0,0,0,1,0,0,0,0,Pred Forte,Prednisolone
0,3,0,0,0,1,0,0,0,0,0,0,0,Tobrex,Tobramycin
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Rhinocort,Budesonide
 0.25 MG/ACTUAT,3,0,0,0,0,1,0,0,0,0,0,0,AirDuo,Fluticasone
0,2,0,0,0,0,0,0,1,0,0,0,0,Surolan,Prednisolone
25 MG/ML,2,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
10 MG ,3,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,The Itch Eraser,Diphenhydramine
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Tavist Non-Sedating,Loratadine
10 MG,1,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
10 MG,1,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",1,0,0,0,0,1,0,0,0,0,0,0,Airsupra,Salbutamol
0,3,0,0,0,0,0,0,1,0,0,0,0,Veripred,Prednisolone
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
10 MG,2,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
100 MG ,1,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
0,3,0,0,0,0,0,0,1,0,0,0,0,Pediapred,Prednisolone
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
0,1,0,0,0,1,0,0,0,0,0,0,0,Tobi,Tobramycin
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zithromax,Azithromycin
0,1,0,0,0,0,0,0,0,1,0,0,0,Jock-Eze,Clotrimazole
0,2,0,0,0,0,0,0,0,0,0,1,0,Lagicam,Miconazole
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Biomox,Amoxicillin
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,Zithromax,Azithromycin
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
250MG/ 5ML ,3,0,0,0,0,0,1,0,0,0,0,0,Paracip,Paracetamol
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Cleartime Indoor & Outdoor Allergies,Loratadine
0,2,0,0,0,0,0,0,0,1,0,0,0,Lotrimin,Clotrimazole
0,2,0,0,0,0,0,0,1,0,0,0,0,MILLIPRED,Prednisolone
3 MG,3,0,1,0,0,0,0,0,0,0,0,0,Airsupra,Budesonide
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
150 MG,1,0,0,0,0,0,0,0,0,0,0,1,Keflex,Cephalexin
0,2,0,0,0,0,0,0,0,0,0,1,0,Vagistat,Miconazole
10 MG,3,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Motrin,Ibuprofen
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Doans PM,Diphenhydramine
0,3,0,0,0,0,0,0,0,0,0,1,0,Oravig,Miconazole
100 MG ,3,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
0,1,0,0,0,0,0,0,0,1,0,0,0,Otomax,Clotrimazole
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Trimox,Amoxicillin
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
100 MG ,3,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Clavamox,Amoxicillin
0,1,0,0,0,0,0,0,0,0,0,1,0,Fungoid,Miconazole
0,3,0,0,0,0,0,0,0,0,0,1,0,Malaseb,Miconazole
10 MG,3,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
0,3,0,0,0,0,0,0,1,0,0,0,0,Veripred,Prednisolone
0,2,0,0,0,1,0,0,0,0,0,0,0,Kitabis,Tobramycin
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",2,0,0,0,0,1,0,0,0,0,0,0,DuoNeb,Salbutamol
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Flovent,Fluticasone
0,1,0,0,0,0,0,0,0,1,0,0,0,Jock-Eze,Clotrimazole
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Wal-Dryl,Diphenhydramine
0,1,0,0,0,0,0,0,0,1,0,0,0,Fungistat,Clotrimazole
3 MG,3,0,1,0,0,0,0,0,0,0,0,0,Eohilia,Budesonide
100 MG ,3,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
0,2,0,0,0,0,0,0,1,0,0,0,0,Orapred,Prednisolone
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",2,0,0,0,0,1,0,0,0,0,0,0,DuoNeb,Salbutamol
50 MG/ML,2,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Vicoprofen,Ibuprofen
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
0,3,0,0,0,0,0,0,0,0,0,1,0,Rash Relief Antifungal,Miconazole
0,2,0,0,0,1,0,0,0,0,0,0,0,Kitabis,Tobramycin
10 MG,3,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
150 MG,1,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
10 MG,1,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
50 MG/ML,3,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Bayer Aspirin PM Reformulated Nov 2011,Diphenhydramine
800 MG,3,0,0,0,0,0,0,0,0,0,0,1,Combogesic,Ibuprofen
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Flonase,Fluticasone
0,1,0,0,0,1,0,0,0,0,0,0,0,Tobrex,Tobramycin
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Pulmicort,Budesonide
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Symbicort,Budesonide
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
150 MG,3,0,0,0,0,0,0,0,0,0,0,1,Keflex,Cephalexin
0,3,0,0,0,0,0,0,0,1,0,0,0,Mometavet,Clotrimazole
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
250MG/ 5ML ,2,0,0,0,0,0,1,0,0,0,0,0,Dolo,Paracetamol
0.75%,3,0,0,1,0,0,0,0,0,0,0,0,Likmez,Metronidazole
0,1,0,0,0,0,0,0,1,0,0,0,0,Veripred,Prednisolone
0,2,0,0,0,1,0,0,0,0,0,0,0,Tobradex,Tobramycin
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Febrol,Paracetamol
0,3,0,0,0,0,0,0,0,0,0,1,0,Vusion,Miconazole
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Betacillin,Amoxicillin
0,3,0,0,0,0,0,0,1,0,0,0,0,Pred Mild,Prednisolone
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",1,0,0,0,0,1,0,0,0,0,0,0,Ventolin,Salbutamol
150 MG,3,0,0,0,0,0,0,0,0,0,0,1,Keflex,Cephalexin
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Wal-itin D,Loratadine
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",3,0,0,0,0,1,0,0,0,0,0,0,Airsupra,Salbutamol
 0.25 MG/ACTUAT,2,0,0,0,0,1,0,0,0,0,0,0,Nasoflow,Fluticasone
10 MG ,3,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
0,2,0,0,0,0,0,0,0,0,0,1,0,Inzo,Miconazole
0,1,0,0,0,1,0,0,0,0,0,0,0,Zylet,Tobramycin
100 MG ,3,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Calpol,Paracetamol
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Amoxi-tabs,Amoxicillin
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
0.75%,3,0,0,1,0,0,0,0,0,0,0,0,Likmez,Metronidazole
50 MG/ML,3,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
3 MG,3,0,1,0,0,0,0,0,0,0,0,0,Pulmicort,Budesonide
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Nystop,Nystatin
25 MG/ML,1,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",1,0,0,0,0,1,0,0,0,0,0,0,Proventil,Salbutamol
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
100 MG ,2,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
10 MG,1,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
10 MG,2,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zithromax,Azithromycin
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
0.75%,2,0,0,1,0,0,0,0,0,0,0,0,Pylera,Metronidazole
0,3,0,0,0,0,0,0,0,0,0,1,0,Lagicam,Miconazole
3 MG,3,0,1,0,0,0,0,0,0,0,0,0,Entocort,Budesonide
25 MG/ML,1,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
150 MG,1,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
0,3,0,0,0,1,0,0,0,0,0,0,0,Zylet,Tobramycin
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Umbrellin,Amoxicillin
250MG/ 5ML ,3,0,0,0,0,0,1,0,0,0,0,0,Panadol,Paracetamol
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
25 MG/ML,2,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Moxatag,Amoxicillin
0,3,0,0,0,0,0,0,0,1,0,0,0,Otomax,Clotrimazole
100 MG ,2,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Breyna,Budesonide
10 MG,1,0,0,0,0,0,0,0,0,0,0,1,Wal-itin,Loratadine
50 MG/ML,3,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
250MG/ 5ML ,3,0,0,0,0,0,1,0,0,0,0,0,Panadol,Paracetamol
400 MG,3,0,0,0,0,0,0,0,0,0,0,1,Clavacillin,Amoxicillin
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Entocort,Budesonide
0.75%,1,0,0,1,0,0,0,0,0,0,0,0,Flagyl,Metronidazole
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Wal-itin,Loratadine
50 MG/ML,3,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Diphedryl,Diphenhydramine
10 MG,1,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
0.75%,2,0,0,1,0,0,0,0,0,0,0,0,Flagyl,Metronidazole
50 MG/ML,2,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
50 MG,1,0,1,0,0,0,0,0,0,0,0,0,Sominex,Diphenhydramine
0,1,0,0,0,0,0,0,0,0,0,1,0,Cruex Prescription Strength,Miconazole
50 MG/ML,3,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
0,2,0,0,0,0,0,0,0,0,0,1,0,Ony-Clear,Miconazole
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Nystop,Nystatin
10 MG,1,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Alavert,Loratadine
0,1,0,0,0,0,0,0,0,0,0,1,0,Tineacide Antifungal Reformulated Jun 2013,Miconazole
10 MG ,3,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Wal-itin,Loratadine
400 MG,3,0,0,0,0,0,0,0,0,0,0,1,Umbrellin,Amoxicillin
10 MG,1,0,0,0,0,0,0,0,0,0,0,1,Wal-vert,Loratadine
0,1,0,0,0,0,0,0,0,0,0,1,0,Micatin,Miconazole
0,1,0,0,0,0,0,0,0,0,0,1,0,Cruex Prescription Strength,Miconazole
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Motrin,Ibuprofen
0.75%,2,0,0,1,0,0,0,0,0,0,0,0,Vandazole,Metronidazole
10 MG ,3,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
50 MG,3,0,1,0,0,0,0,0,0,0,0,0,Siladryl,Diphenhydramine
